宝塔,浮图
厚待,优遇
广大,泛博
糟蹋,糟践
酷暑,盛暑
借贷,假贷
诓骗,敲诈
明白,大白
方才,刚刚
函牍,尺书
满是,尽是
统筹,兼顾
培育,培养
格局,模式
严肃,严厉
天禀,天分
改过自新,洗心革面
才干,才华
稳重,庄重
消散,消失
决议,决定
休咎,吉凶
生生不已,生息不断
絮絮叨叨,絮絮不休
扬扬得意,吐气扬眉
风闻,传闻
夫妇,匹俦
指点,指导
报告,敷陈
嘹亮,响亮
耐烦,耐性
交融,融合
难民营,收容所
私人,私家
晤面,见面
异常,特别
早起,夙兴
取出,掏出
沉默,缄默沉静
准绳,绳尺
花费,消费
变动,更动
雾里看花,若明若暗
铜漏滴尽,更鼓敲尽
明了,明晰
神姿,丰采
公子哥儿,膏粱子弟
腔调,声调
赞许,赞成
空地,旷地
会谈,谈判
四周,周围
来由,来因
充满,布满
名过其实,过甚其实
钻研,研究
老实,诚实
托言,饰辞
探询探望,打听
白手,赤手
辉煌光耀,灿烂
园丁,花匠
赞美,嘉赞
鞭策,鼓动
风致,品格
太古,邃古
投掷,抛掷
简直,的确
得意洋洋,自鸣得意
档册,案卷
百孔千疮,民生凋敝
扒手,窃匪
树范,树模
欺侮,欺负
拜谒,拜见
本领,技能花样
冒充,假冒
百孔千疮,哀鸿遍野
怒不可遏,拊膺切齿
欢畅,欢乐
爬山,登山
畅通,通顺
积羽沉舟,聚蚊成雷
婚事,亲事
转弯抹角,迂回曲折
技能,技巧
伤心,悲伤
绝不,毫不
互换,交换
申说,申诉
筹议,筹商
环堵萧然,家贫壁立
宁静,安全
土地,地盘
坚固,坚韧
延长,耽误
私衷,私意
牺牲,就义
排山倒海,雷霆万钧
腐败,凋射
脆弱,懦弱
须生,老生
忧郁,愁闷
大难不死,劫后余生
看成,当作
典丽矞皇,典雅堂皇
佛寺,梵刹
痛快酣畅,舒坦
期待,等候
口实,话柄
玷辱,玷污
牢固,巩固
调皮,淘气
见机,识趣
明争暗斗,明枪暗箭
喜好,喜欢
爽利,爽脆
场面,排场
目无流视,目不邪视
生死,存亡
迷恋,沉溺
同等,一律
气概,气势
危急,求助紧急
星期四,木曜日
异议,贰言
酷暑,炎暑
收容,收留
重新努力别辟门户,另起炉灶
震怒,大怒
独享权益,利益均沾
葬送,断送
柔软,柔嫩
流传,撒布
例外,破例
评话,说书
恳求,哀求
田地,地步
背叛,变节
王侯,贵爵
极重繁重,沉重
崛起,突起
彻上彻下,彻里彻外
透骨,砭骨
永夜,长夜
白天,白日
瞎说,瞎扯
月下花前,花前月下
冲刷,冲洗
交代,交接
发掘,挖掘
逐日,每日
退却,猬缩
扼守,把守
粗衣劣食,恶衣恶食
化装,化妆
源头,泉源
七通八达,四通八达
勾结,勾通
芳泽,芗泽
书籍,册本
考察,考查
冷气,凉气
转班,调班
早先,起初
分居,分家
盗汗,冷汗
革职,除名
流利,流畅
不由得,忍不住
舒服,舒适
失落,失踪
损伤,毁伤
现在,目下当今
善始善终,有始有终
罪过,罪恶
镇日,竟日
府上,贵寓
追随骥尾,步人后尘
利诱,迷惑
全心,经心
女中豪杰,女中丈夫
战斗,战役
反复无常,反复不定
亲切,亲热
伸张,蔓延
制定,制订
隐藏,埋没
宾朋盈门,高朋满座
绝代,旷世
夫君,良人
潜藏,躲藏
愚笨,愚蠢
产业,工业
观,不雅
同伴,伙伴
多事之秋,艰屯之际
木柴,木料
承袭,承继
漏洞,缝隙
撤除,除掉
起火点,发火点
沉溺,沉沦
厚待,优待
肝火,怒气
消逝,消失
冷僻,偏僻
隐士,蓬菖人
荣耀,光荣
本来,原来
极刑,死刑
愁眉不展,愁云满面
不求甚解,生吞活剥
严峻,严格
石崇之富,邓通之财
罪不容诛,死有余辜
环球,举世
火油,煤油
稀少,稀疏
隆重,盛大
代价,价值
洞若观火,了如指掌
创办,开办
部分,部分
忠诚,忠实
气,气鼓鼓
私自,擅自
马到成功,旗开马到
急躁,暴躁
步兵,步卒
罪不容诛,罪大恶极
通常,凡是
报酬,酬劳
受苦,刻苦
缅怀,怀想
考订,订正
松弛,败坏
基础,基本
归天,亡故
洁白,皎白
结束,停止
未来,将来
分开,离开
队伍,部队
发明,创造
逃匿,窜匿
棘手,辣手
失怙,丧父
顾问,垂问
侵犯,侵略
众多,浩瀚
内幕,黑幕
症结,关键
反目,交恶
谣言,流言
开除,解雇
言而不行,光说不练
种别,类别
叫唤,叫喊
歹徒,暴徒
安置,安顿
才气,才干
驱使,驱策
歌颂,赞扬
凶恶,凶狠
时兴,时髦
队伍,步队
凋谢,凋零
灰心丧气,没精打彩
半晌,片刻
八面玲珑,左右逢源
战役,战斗
顽疾,恶疾
不足齿数,不足挂齿
讨救,乞援
来日,明天将来
赴任,到差
技能,妙技
荒疏,抛荒
老小,长幼
桎梏,枷锁束缚
投桃报李,礼尚往来
高着,高招
寻求,追求
排除,解除
乡信,家书
可否,能否
满身,混身
消灭,覆灭
诋毁,毁谤
讲明,批注
平分秋色,不相上下
扬弃,抛弃
应付裕如,应付自如
反击,回击
民生凋敝,百孔千疮
各别,互异
本领,能力
抗命,逆命
出版,出书
粉身碎骨奋不顾身,肝脑涂地
京彩,皮蛋
谈话会,茶话会
屁滚尿流,一败涂地
独断,专断
好处,优点
狡猾,狡诈
草拟,起草
润色,润饰
稿本,底稿
农具,耕具
颠倒黑白,混淆黑白
任务,使命
旷达,奔放
分崩离析,土崩瓦解
流浪,飘流
疲乏,疲倦
终生一生没世,毕生
鞭策,敦促
憨实,憨厚
诚实,诚笃
陵暴,欺侮
挂念,记挂
中分,平分
复苏,苏醒
后悔,忏悔
逢迎,巴结
昏暗,惨淡
坐享其成,不劳而获
神采奕奕,精神奕奕
罕用,少用
气味,气息
浑浊,混浊
起初,起先
含糊其词,模棱两可
乐不思蜀,流连忘返
悲凄,凄切
好友,老友
完满,美满
外套,外衣
敲诈勒索,巧取豪夺
体面,面子
祸根,祸端
刻薄,尖刻
本籍,祖籍
定名,命名
各不相谋,各执一词
畅快,酣畅
流浪,流落
鼓励,激励
紧缩,收缩
全无分别,一丘之貉
铜墙铁壁,金城汤池
过错,错误
忘却,忘记
极力,死力
素愿,素志
短寿,短折
稳定,不乱
狼籍,缭乱
鼓励,激劝
忘八乌龟无赖,绿头巾
大家,大师
意见,看法
火上浇油,推波助澜
楷模,表率
搏命,拚命
浪费,浪掷
迫不及待,火烧眉毛
慰问,慰劳
踌躇,迟疑
谙习,谙熟
活动,流动
垂头丧气,没精打采
昏暗,灰暗
裁判员,评判员
披星带月,餐风饮露
抱屈,含冤
经历,阅历
口是心非,两面三刀
某人,或人
虚有其表,色厉内荏
干枯,干涸
力求进步,力求上进
森林,丛林
脱险,出险
浪潮,海潮
荡垢涤污,伐毛洗髓
明朗,清明明亮
怅惜,怅惋
出入,收支
告知,见告
严厉,严格
敦朴,老诚
划一,齐整
巡查,巡视
期待,等待
修理,补缀
歌颂,赞颂
各半,参半
斥责,叱责
颁布,公布
如拾草芥,俯拾地芥
口碑载道,有口皆碑
收藏,保藏
管帐,会计
二八佳人,妙龄少女
